source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Allantoic endothelial progenitor,Allantoic endothelial progenitor,8.5,0.0,0.0,0.0,1.0,463,463
Allantoic endothelial progenitor,Allantois,6.91038081520696,1.321470634703638,37.94704164432006,0.16508128285057252,0.0,463,2220
Allantoic endothelial progenitor,Amniotic ectoderm,5.830849721364253,0.5531269617863813,10.561373826602969,0.023090199545389177,0.01,463,317
Allantoic endothelial progenitor,Anterior mesoderm,5.36897817533476,-0.1815622303330926,-4.250296423593761,0.022890782209537136,0.84,463,667
Allantoic endothelial progenitor,Arterial endothelial cell,5.464209766131991,0.2077998909077635,3.2234629638585575,0.014305033346113695,0.2,463,149
Allantoic endothelial progenitor,Axial progenitor,5.567235874686489,-0.2337168955188401,-5.886547438834516,0.0022005274070701344,0.0,463,1269
Allantoic endothelial progenitor,Cranial neural crest,5.713504542571744,-0.10840512034629146,-3.273070379515031,0.0027278369127291856,0.2,463,3667
Allantoic endothelial progenitor,Dermomyotome,5.611059908764119,-0.22098409478039263,-6.908433020706117,0.0050827049695602484,0.0,463,2561
Allantoic endothelial progenitor,Diencephalon,5.1687020600495535,-0.18762441540848998,-2.4060804467712558,0.004698164197919944,0.02,463,169
Allantoic endothelial progenitor,Endocardial cell,5.255697544830167,-0.006054720973302767,-0.19780358195179618,0.03638650998363552,0.24,463,151
Allantoic endothelial progenitor,Endothelial cell,5.171324637368876,-0.00568996093752953,0.9592695764432152,0.075887069213919,0.04,463,116
Allantoic endothelial progenitor,Endothelial progenitor,6.108272091895223,0.29623751942360954,7.294385194232631,0.003108470194593559,0.0,463,1091
Allantoic endothelial progenitor,Epibranchial placode,5.600907300557744,0.2767150325824875,5.4236975001816035,0.02364171260299513,0.25,463,330
Allantoic endothelial progenitor,Extraembryonic mesoderm,5.484987901124657,0.10389917548355736,1.7375527487537934,0.037262977058494046,0.14,463,556
Allantoic endothelial progenitor,Eye field,5.108649201392029,-0.23758027979781757,-2.9718000594710365,0.008463977868723518,0.05,463,146
Allantoic endothelial progenitor,First heart field,5.496193705594224,0.02048210984789674,1.0727056019747225,0.009250384067430025,0.8,463,704
Allantoic endothelial progenitor,Floor plate,5.288440128483271,-0.2734639599271456,-6.790898997932602,0.0008477640408828646,0.0,463,957
Allantoic endothelial progenitor,Foregut,5.053644115708477,-0.23098228685717062,-4.264421418807552,0.0032067211310544365,0.0,463,477
Allantoic endothelial progenitor,Frontonasal mesenchyme,5.070249770840302,-0.06341809181206992,-0.15582519125403832,0.020874123712509438,0.53,390,57
Allantoic endothelial progenitor,Head paraxial mesoderm,5.625254639189289,-0.13388441950951435,-4.391546383479505,0.003983752071335576,0.29,463,3441
Allantoic endothelial progenitor,Hindbrain (isthmic organizer),5.4984493033286705,-0.3253272500179157,-7.527871467431216,0.0026590770690921458,0.0,463,1531
Allantoic endothelial progenitor,Hindbrain (r1),5.511205730775017,-0.3497472972706997,-8.464823218683053,0.005209680536177733,0.0,463,2128
Allantoic endothelial progenitor,Hindbrain (r2-r4),5.559917318592382,-0.33269486288296096,-9.177475632619894,0.0026966216602852832,0.0,463,2189
Allantoic endothelial progenitor,Hindbrain (r5-r8),5.466454940624452,-0.38301081044066204,-9.18962209093123,0.00831169061818995,0.0,463,1457
Allantoic endothelial progenitor,Hindgut,4.949724663089959,-0.17972141067776715,-1.906363683029311,0.060516021305250994,0.02,463,247
Allantoic endothelial progenitor,Hypothalamus,5.2797436549332915,-0.30830479276302586,-6.908196761178188,0.003064388770565592,0.0,463,765
Allantoic endothelial progenitor,Intermediate mesoderm,5.6176371315587375,-0.16920902352431946,-4.39351586511752,0.0006865756652915377,0.0,463,1173
Allantoic endothelial progenitor,Juxtacardiac field,5.114966833016088,-0.15319594434932662,-1.9743084167244505,0.005440304395028165,0.12,463,195
Allantoic endothelial progenitor,Midbrain,5.540787330841375,-0.3513531583700935,-9.710579892253262,0.00020288675957704522,0.0,463,2940
Allantoic endothelial progenitor,Midgut,5.0777779517273025,-0.16491704098314694,-2.63926009935998,0.034479775587720446,0.24,463,362
Allantoic endothelial progenitor,Nascent somite,5.424308764171911,-0.27494296917007716,-7.439354643861875,0.004192160829735139,0.0,463,1056
Allantoic endothelial progenitor,Notochord,5.043970013422165,-0.23189070585738078,-4.188911077985452,0.01838201035693453,0.4,463,288
Allantoic endothelial progenitor,Olfactory placode,5.4984498479261035,0.0438797746517953,1.2856371929157533,0.02055489097321207,0.11,463,317
Allantoic endothelial progenitor,Otic placode,5.469449973441748,0.1049402412133696,2.4926943261921504,0.025943052740294455,0.5,463,246
Allantoic endothelial progenitor,Periocular mesoderm,5.240659676961317,-0.039456613131424824,-0.7428293271109322,0.05730132597547848,0.24,463,430
Allantoic endothelial progenitor,Pharyngeal endoderm,5.19837335333349,-0.23504503215763664,-5.6661844778919495,0.011633121526992196,0.0,463,1138
Allantoic endothelial progenitor,Pharyngeal mesoderm,5.656300168348821,0.005875346579550171,-0.06285138264606112,0.03307149856041628,0.62,463,1100
Allantoic endothelial progenitor,Pre-placodal ectoderm,5.809704796310158,0.14433961576607413,3.6459630865052524,0.03864583753650242,0.32,463,1022
Allantoic endothelial progenitor,Prechordal plate,4.819869510484145,-0.12802656097557996,-1.3524681585166956,0.0006042535124577786,0.3,463,102
Allantoic endothelial progenitor,Presomitic mesoderm,5.687273733891,-0.23011033483244572,-6.726869860089479,0.00975462241427484,0.0,463,3260
Allantoic endothelial progenitor,Roof plate,5.5541819768448875,-0.04733101527074416,-1.5370938063160535,0.01243120581541771,0.31,463,452
Allantoic endothelial progenitor,Sclerotome,5.445298644143354,-0.23271419136465177,-6.595492546864633,0.0032665772493983684,0.0,463,1380
Allantoic endothelial progenitor,Second heart field,5.809689071626463,0.07020875495321229,2.510029795845955,0.0022290948922054823,0.56,463,2711
Allantoic endothelial progenitor,Somatic mesoderm,6.008796488679437,0.1559775314625904,3.7676542036614875,0.006792390518888169,0.0,463,2147
Allantoic endothelial progenitor,Spinal cord (cervical),5.516722735125924,-0.36850668519843754,-10.93500780868228,5.945732648376343e-05,0.0,463,2173
Allantoic endothelial progenitor,Spinal cord (thoracic),5.582936408223823,-0.3513224107391905,-9.945172598991483,0.002593093995395486,0.0,463,3492
Allantoic endothelial progenitor,Splanchnic mesoderm,6.342362067426946,0.4164138146298996,12.644847207529983,0.018091470511449735,0.0,463,4363
Allantoic endothelial progenitor,Surface ectoderm,5.968154928840412,0.35153721116308984,8.924060883463383,0.028347434463930975,0.01,463,1362
