source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Allantoic endothelial progenitor,Allantoic endothelial progenitor,8.999999999894248,-1.0658141036401503e-14,-0.00010656353298013094,9.781875224740546e-29,1.0,2031,2031
Allantoic endothelial progenitor,Allantois,7.223031503072846,1.3882454496023955,68.24985161929295,0.03989806036308397,0.0,2031,9637
Allantoic endothelial progenitor,Amniotic ectoderm,6.044497135306391,0.5799182355538438,21.65084463295779,0.03229805372678626,0.0,2031,1899
Allantoic endothelial progenitor,Anterior mesoderm,5.354180831953607,-0.030306624618965532,-0.39904983045801706,0.0025022267422233854,0.49,2031,343
Allantoic endothelial progenitor,Arterial endothelial cell,5.968128330931212,0.5007207920338533,12.898668283021474,0.028299703477403935,0.0,2031,574
Allantoic endothelial progenitor,Atria,5.749801153679318,0.24874400332943125,7.891914062260434,0.006419255733435722,0.0,2031,908
Allantoic endothelial progenitor,Atrioventricular canal,5.423728693308104,0.06929665332936145,1.7234283931611583,0.003973920934339241,0.94,2031,391
Allantoic endothelial progenitor,Axial progenitor,5.525046223122309,-0.3293401719090833,-13.286026548076014,0.008308237773819761,0.0,2031,2321
Allantoic endothelial progenitor,Cranial neural crest (anterior),5.624520744243534,-0.12193250197064298,-6.353671151246456,0.04122666325101005,0.01,2031,3419
Allantoic endothelial progenitor,Cranial neural crest (posterior),5.5445034720346555,-0.0734582884299974,-3.1565560072448444,0.028482631563218546,0.01,2031,2121
Allantoic endothelial progenitor,Dermomyotome,5.59792996269568,-0.3661906734398122,-19.21550813508327,0.002855533818037578,0.0,2031,11171
Allantoic endothelial progenitor,Diencephalon,5.338939634666873,-0.39895392648766165,-14.893160281508079,0.0028960940753238384,0.0,2031,2914
Allantoic endothelial progenitor,Dl2-6 interneuron,4.6386837462557935,-0.11393138384764656,-0.3406866138500788,0.023926370599081138,0.86,2031,49
Allantoic endothelial progenitor,Endocardial cell,5.321171082279044,-0.06059744934095986,-1.4947552264528872,0.004051828606704161,0.99,2031,367
Allantoic endothelial progenitor,Endothelial cell,5.8518542224526735,0.10167999202735167,3.4555151658724292,0.004784699586345724,0.29,2031,1344
Allantoic endothelial progenitor,Endothelial progenitor,6.318757947195881,0.3250513770875439,15.758615506230866,0.006372601865855274,0.0,2031,4455
Allantoic endothelial progenitor,Epibranchial placode,5.872288415141451,0.32175269905389065,12.198962297650874,0.005696893849713205,0.0,2031,2681
Allantoic endothelial progenitor,Epibranchial sensory neuron,5.220788082735898,0.23279483485078303,2.8180104225403606,0.03663694208952978,0.95,2031,124
Allantoic endothelial progenitor,Epicardium,5.029839237551724,0.08106715094468875,0.9637283085402416,0.0016078867220130123,0.67,2031,179
Allantoic endothelial progenitor,Epidermal progenitor (anterior),5.1906473012161,0.257726457783171,3.6522384248444753,0.05016396321556316,1.0,2031,157
