source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Definitive endoderm,Definitive endoderm,7.500000000000021,-4.144832625267251e-15,-4.14431730022e-05,5.153891247443943e-29,1.0,144,144
Definitive endoderm,Epiblast,5.3517956193533855,-0.055881644354290515,-1.155603265209013,0.0012303234164705316,0.73,144,612
Definitive endoderm,Extraembryonic mesoderm,5.200429037742514,-0.023175189721707252,-0.5630407775817972,0.02432275961318653,0.62,144,411
Definitive endoderm,Hematoendothelial progenitor,5.1819268249698265,0.11849811144057536,1.642852252587706,0.005943952035623016,0.5,144,246
Definitive endoderm,Nascent mesoderm,5.491749582654404,0.04312081524388104,0.8940905660109832,0.00884509996528545,0.86,144,826
Definitive endoderm,Notochord,5.078696598616384,0.26615502142621733,1.6135189339847862,0.17659475962017704,0.21,144,63
Definitive endoderm,Primitive streak,5.389393632491554,0.01950177040009482,0.25280351382123417,0.0018460732379391477,0.54,144,491
Definitive endoderm,Rostral ectoderm,5.349116071015952,-0.08835906135096512,-1.8304848564948626,0.0005626170380968781,0.12,144,883
Epiblast,Epiblast,7.500000000000008,5.0330110449673766e-15,5.032251223686666e-05,7.59936005362908e-29,1.0,612,612
Epiblast,Extraembryonic mesoderm,5.4884767994193595,-0.19699320649398486,-7.124155760670509,0.003946197857502891,0.0,612,411
Epiblast,Hematoendothelial progenitor,5.353507572153965,-0.17369795065135385,-4.7227655746658135,0.005556114568576617,0.11,612,246
Epiblast,Nascent mesoderm,5.862412552822637,-0.042400378261773085,-1.8216979000314513,0.0015445464275437538,0.48,612,826
Epiblast,Notochord,5.301993653725255,0.03184862086915027,0.5791040034049107,0.032832161581383475,0.1,612,63
Epiblast,Primitive streak,5.95855108378704,0.12751447222592205,4.0686799396713935,0.013725307216967762,0.12,612,491
Epiblast,Rostral ectoderm,6.092262093171264,0.19668155848540536,9.159941610451286,0.0003693676909517354,0.0,612,883
Extraembryonic mesoderm,Extraembryonic mesoderm,7.4999999999999725,8.881784197001252e-16,8.88154754503536e-06,2.3665827156630354e-30,1.0,411,411
Extraembryonic mesoderm,Hematoendothelial progenitor,5.825650603476018,0.478858175043331,10.203496671251099,0.015836052808382937,0.0,411,246
Extraembryonic mesoderm,Nascent mesoderm,5.768486177684065,0.048746724013814635,1.815237745892323,0.0012806939075152176,0.73,411,826
Extraembryonic mesoderm,Notochord,5.074803773384451,-0.00955856801757656,-0.1551886048628419,0.006786612019328854,0.56,411,63
Extraembryonic mesoderm,Primitive streak,5.536965764079244,-0.11344577340993449,-3.4366954115541066,0.002431001860078466,0.06,411,491
Extraembryonic mesoderm,Rostral ectoderm,5.51450594942812,-0.19887436788872334,-7.647650453827392,0.0005256902211362659,0.0,411,883
Hematoendothelial progenitor,Hematoendothelial progenitor,7.500000000000017,4.144832625267251e-15,4.14431730022e-05,5.153891247443943e-29,1.0,246,246
Hematoendothelial progenitor,Nascent mesoderm,5.488186114117795,-0.07630271719159538,-1.9551835834812419,0.00730402643133002,0.61,246,826
Hematoendothelial progenitor,Notochord,5.008493372619589,0.08914169922408839,0.7877561713125272,0.004791117157190326,0.7,246,63
Hematoendothelial progenitor,Primitive streak,5.407862924651444,-0.08208228805439728,-2.0088471319125207,0.0026482133735028866,0.65,246,491
Hematoendothelial progenitor,Rostral ectoderm,5.415084446110117,-0.13838241660604003,-3.782328829468957,0.0019013663870655316,0.02,246,883
Nascent mesoderm,Nascent mesoderm,7.499999999999994,-2.960594732333751e-15,-2.9603318020515772e-05,2.6295363507367056e-29,1.0,826,826
Nascent mesoderm,Notochord,5.38717786172354,0.07804621414268424,1.2260216535536252,0.007042800779719854,0.86,826,63
Nascent mesoderm,Primitive streak,5.928376657569845,0.059508678996975796,2.5004230497133446,0.0014855067897005568,0.27,826,491
Nascent mesoderm,Rostral ectoderm,5.915493182141454,-0.01720934724447905,-0.8128678094182035,0.0026012126279459286,0.11,826,883
Notochord,Notochord,7.499999999999999,-8.881784197001252e-16,-8.88154754503536e-06,2.3665827156630354e-30,1.0,63,63
Notochord,Primitive streak,5.2746894703217535,0.038625881008213625,0.4069751265108675,0.009073117993915285,0.33,63,491
Notochord,Rostral ectoderm,5.397642866497396,0.09850557805348092,1.7030502401669707,0.020309291693355814,0.57,63,883
Primitive streak,Primitive streak,7.500000000000021,-3.848773152033876e-15,-3.848328811693333e-05,4.4439164327450334e-29,1.0,491,491
Primitive streak,Rostral ectoderm,5.928312207864568,0.06880247693483572,2.7172788480609693,0.00381976414088406,0.77,491,883
Rostral ectoderm,Rostral ectoderm,7.499999999999983,-3.552713678800501e-15,-3.5523350659166667e-05,3.7865323450608567e-29,1.0,883,883
