source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Allantoic endothelial progenitor,Allantoic endothelial progenitor,8.999999999894248,-1.0658141036401503e-14,-0.00010656353298013094,9.781875224740546e-29,1.0,2031,2031
Allantoic endothelial progenitor,Allantois,7.223031503072846,1.3871434421273205,68.38642663070215,0.03988283981519283,0.0,2031,9637
Allantoic endothelial progenitor,Amniotic ectoderm,6.044497135306391,0.5817494191911319,22.159170039164746,0.03171725139970561,0.0,2031,1899
Allantoic endothelial progenitor,Anterior mesoderm,5.354180831953607,-0.027032680434373606,-0.31441382374711796,0.003110060621393024,0.32,2031,343
Allantoic endothelial progenitor,Arterial endothelial cell,5.968128330931212,0.5053544337171717,13.536181800082474,0.026315802514884138,0.0,2031,574
Allantoic endothelial progenitor,Axial progenitor,5.525046223122309,-0.32739457852904713,-12.785248786777922,0.008769462034920315,0.0,2031,2321
Allantoic endothelial progenitor,Cranial motor neuron,4.764517038218487,-0.3160986094001507,-4.514754188028673,0.006186711337899357,0.35,2031,210
Allantoic endothelial progenitor,Cranial neural crest,5.684379337085282,-0.13814019915143602,-6.875994823384468,0.045534473346438814,0.0,2031,5540
Allantoic endothelial progenitor,Dermomyotome,5.59792996269568,-0.3668958245267291,-18.971132423102194,0.0027564373259862185,0.0,2031,11171
Allantoic endothelial progenitor,Diencephalon,5.338939634666873,-0.4026981614548853,-15.358858028991989,0.003454275407943532,0.0,2031,2914
Allantoic endothelial progenitor,Endocardial cell,5.321171082279044,-0.0560017202570308,-1.3625469600556588,0.005020795323489298,0.84,2031,367
Allantoic endothelial progenitor,Endothelial cell,5.872666449364569,0.11307154315451544,3.757984356116649,0.004058191888297717,0.07,2031,1404
Allantoic endothelial progenitor,Endothelial progenitor,6.318757947195881,0.3241685647719293,14.883806836919463,0.006155644581500976,0.0,2031,4455
Allantoic endothelial progenitor,Epibranchial placode,5.872288415141451,0.31934435424644647,11.60835059130418,0.005333625672769368,0.0,2031,2681
Allantoic endothelial progenitor,Epibranchial sensory neuron,5.220788082735898,0.23864010316784245,3.2138562240372313,0.034543249951777315,0.88,2031,124
Allantoic endothelial progenitor,Epicardium,5.029839237551724,0.07837645957699942,0.9445849574828834,0.002883007468405069,0.8,2031,179
Allantoic endothelial progenitor,Epidermal progenitor,6.203860901024861,0.4754833694618424,22.34383828637007,0.012632521907271868,0.0,2031,6626
Allantoic endothelial progenitor,Extraembryonic mesoderm,5.65386253945957,0.10875852528020769,7.407817964324553,0.018204012924833243,0.6,2031,4702
Allantoic endothelial progenitor,Eye field,5.321352466880207,-0.3793465540039591,-13.660875336583146,0.007601754818270583,0.0,2031,2922
Allantoic endothelial progenitor,First heart field,5.438269622803703,-0.12270463721066467,-4.4918681305539545,0.0011611589508743686,0.0,2031,1750
Allantoic endothelial progenitor,Floor plate,5.145041519552908,-0.4513845555320219,-17.651627188909274,0.002297980604654938,0.0,2031,3466
Allantoic endothelial progenitor,Foregut,4.994889202050964,-0.29163257350941674,-10.383325678589879,0.011380010518062663,0.0,2031,1508
Allantoic endothelial progenitor,Frontonasal mesenchyme,5.632960148230478,-0.07646625186570304,-3.5959392854451875,0.024020887985139294,0.01,2031,4202
Allantoic endothelial progenitor,Head paraxial mesoderm,5.518723253754565,-0.21477439703566237,-12.004413643184867,0.00011890657558941374,0.0,2031,10089
Allantoic endothelial progenitor,Hemogenic endothelium,5.900823864931791,0.9310371147185311,8.014679383523955,0.07427468549191844,0.0,2031,73
Allantoic endothelial progenitor,Hindbrain (isthmic organizer),5.372988922266058,-0.4259435904207119,-17.026991888510533,0.005372508532763941,0.0,2031,2376
Allantoic endothelial progenitor,Hindbrain (r1),5.47233040028497,-0.41467113169771225,-19.71290113151771,0.00887945316495354,0.0,2031,6335
Allantoic endothelial progenitor,Hindbrain (r2-r4),5.518750899198776,-0.42927394519022144,-22.694851472036845,0.010127630610002276,0.0,2031,7748
Allantoic endothelial progenitor,Hindbrain (r5-r8),5.5014310588713755,-0.45956645119663886,-20.887132499133326,0.007171966810459528,0.0,2031,5781
Allantoic endothelial progenitor,Hindgut,4.917821196852281,-0.3327428626485706,-10.178662953287622,0.014195738445163544,0.0,2031,1110
Allantoic endothelial progenitor,Hypaxial myogenic progenitor,4.739285845359074,0.19422555604385172,0.6181887872854168,0.058305659824244495,0.85,953,23
Allantoic endothelial progenitor,Hypothalamus,5.212561161041304,-0.4413313863508286,-17.689730390703883,0.007404301760310378,0.0,2031,2956
Allantoic endothelial progenitor,Intermediate mesoderm,5.575449471820529,-0.2402763213189442,-10.924486512107578,0.001115103455277637,0.0,2031,2580
Allantoic endothelial progenitor,Juxtacardiac field,5.373450365754266,-0.10915790453130647,-2.930753059606545,0.009040733857213766,0.81,2031,965
Allantoic endothelial progenitor,Megakaryocyte,4.727068551068527,0.004103507539139943,-0.3568845496749695,0.05883732405563478,0.26,2031,58
Allantoic endothelial progenitor,Midbrain,5.4028288067801915,-0.4504663492318339,-21.1106694918678,0.008417947670882204,0.0,2031,7099
Allantoic endothelial progenitor,Midbrain neuron,5.133430111732424,-0.2117198667659871,-3.8504226666871832,0.013584552109022544,0.07,2031,353
Allantoic endothelial progenitor,Midgut,4.986804111613501,-0.3085456902584565,-12.52957195009961,0.007131401166693686,0.0,2031,2242
Allantoic endothelial progenitor,Myotome,4.546775055310591,-0.21473955979978734,-1.3463276135833107,0.042187776337402345,0.95,2031,65
Allantoic endothelial progenitor,Nascent somite,5.461246348039842,-0.28636405119325276,-10.940495581356785,0.020953457796208417,0.0,2031,2502
Allantoic endothelial progenitor,Notochord,5.0540975371807875,-0.26148159147907507,-7.595720489789849,0.002002322973333665,0.0,2031,749
Allantoic endothelial progenitor,Olfactory placode,5.69649581005556,0.1554604743715388,4.554950056474414,0.012865042892310066,0.38,2031,1680
Allantoic endothelial progenitor,Otic placode,5.735685524224375,0.20344389196226143,5.7610528385394595,0.05059800216002225,0.06,2031,1357
Allantoic endothelial progenitor,Periocular mesoderm,4.932648097656545,-0.27035598335189803,-6.890314185294218,0.010345950223193675,0.0,2031,798
Allantoic endothelial progenitor,Pharyngeal arch mesenchyme,5.659978933737825,-0.05309501848645226,-2.337009666985288,0.022373637140845542,0.03,2031,4615
Allantoic endothelial progenitor,Pharyngeal endoderm,5.135992589213334,-0.2745790887282841,-10.01597581145352,0.0141576370535789,0.0,2031,2292
Allantoic endothelial progenitor,Pharyngeal mesoderm,5.531114001020453,-0.14818503005937197,-6.1938639581126544,0.0011167578247090442,0.0,2031,2901
Allantoic endothelial progenitor,Pre-placodal ectoderm,5.940410152850909,0.3080990452662868,11.161510793102876,0.00840847984627965,0.0,2031,3388
Allantoic endothelial progenitor,Prechordal plate,4.341904480825507,-0.17349029272428482,-1.1216360180540372,0.029710644859024537,0.77,2031,38
Allantoic endothelial progenitor,Presomitic mesoderm,5.686838083464557,-0.3062225934162459,-17.026642541413437,0.009243586319632477,0.0,2031,9179
Allantoic endothelial progenitor,Primordial germ cell,4.842913183154948,0.09886646723988157,1.615832557093837,0.01462217496367086,0.68,2031,141
Allantoic endothelial progenitor,Roof plate,5.606063057876,-0.19184713764825792,-6.887305484632901,0.003022638980594938,0.0,2031,1779
Allantoic endothelial progenitor,Sclerotome,5.47545386226594,-0.35710862989373354,-18.187295686215283,0.002323522204740452,0.0,2031,8569
Allantoic endothelial progenitor,Second heart field,5.883085850224887,0.12403209374079882,5.89561285829432,0.0003225505215816896,0.0,2031,5333
Allantoic endothelial progenitor,Somatic mesoderm,6.457798298248953,0.4279814574080311,20.519460757133924,0.027758823104610447,0.0,2031,17045
Allantoic endothelial progenitor,Somatic motor neuron,4.740977068729663,-0.1728593832139138,-4.083229707356375,0.12031827418899822,0.56,2031,134
Allantoic endothelial progenitor,Spinal cord (cervical),5.500291009678982,-0.46558087909459456,-22.473285633532697,0.007266904927416612,0.0,2031,8692
Allantoic endothelial progenitor,Spinal cord (lumbar),5.4173790676429086,-0.3275892287942804,-10.024964441459018,0.0026439281599312144,0.0,2031,3152
Allantoic endothelial progenitor,Spinal cord (thoracic),5.580652958006946,-0.40529403727085417,-21.34825835313585,0.007504979980124702,0.0,2031,12419
Allantoic endothelial progenitor,Spinal cord interneuron,4.952740551377333,-0.16638957276770552,-2.060244887124287,0.0027344912075890713,0.62,2031,144
Allantoic endothelial progenitor,Splanchnic mesoderm,6.531340130757216,0.4436721060513766,21.93679045828898,0.009500950548908104,0.0,2031,16934
Allantoic endothelial progenitor,Surface ectoderm,6.078652892548614,0.48729651412679925,18.322893654990267,0.005045341567244836,0.0,2031,2549
Allantoic endothelial progenitor,Telencephalon,5.514570299725189,-0.3464362934939705,-16.535314289963427,0.00885331893447417,0.0,2031,9365
Allantoic endothelial progenitor,Trigeminal placode,5.843531814015705,0.21731842114952205,6.553892031728258,0.04261455307663013,0.36,2031,1875
Allantoic endothelial progenitor,Trigeminal sensory neuron,5.46560509656154,0.27515547029838433,4.808802664207349,0.029063721031156606,0.08,2031,268
Allantoic endothelial progenitor,Trunk neural crest,5.367315591501124,-0.11567929708662295,-2.580562047180115,0.006180166564191628,0.51,2031,917
Allantoic endothelial progenitor,Vagal neural crest,5.589098448522712,-0.06262817577618218,-2.07035004060635,0.0008387411680683272,0.31,2031,1902
Allantois,Allantois,8.999999999985432,1.0066022089934753e-14,0.00010064539293517338,7.047157419974373e-29,1.0,9637,9637
Allantois,Amniotic ectoderm,6.260405454724158,0.6013666787568829,29.1986515078234,0.034349455203379765,0.0,9637,1899
Allantois,Anterior mesoderm,5.495555878116373,-0.07804987114511697,-2.07797417867143,0.002028802539905221,0.49,9637,343
Allantois,Arterial endothelial cell,6.046476129007793,0.38657163803142974,10.101184448283211,0.0351150716633474,0.0,9637,574
Allantois,Axial progenitor,5.843199788118496,-0.20544466110803258,-10.914818978745862,0.020318473804807308,0.0,9637,2321
Allantois,Cranial motor neuron,4.887089199147586,-0.38983155723883617,-6.378527725804319,0.012569721892991274,0.28,9637,210
Allantois,Cranial neural crest,5.932993571698053,-0.0852203544919492,-7.486679145723446,0.024629111081939478,0.0,9637,5540
Allantois,Dermomyotome,5.772730524419107,-0.3894145087931298,-36.75406624745921,0.006493299088368672,0.0,9637,11171
Allantois,Diencephalon,5.4995668155100965,-0.4368891853187125,-25.017678556314024,0.002847880905914655,0.0,9637,2914
Allantois,Endocardial cell,5.439415751968595,-0.13266442551513938,-3.396021421700274,0.003735881407965418,0.1,9637,367
Allantois,Endothelial cell,5.986282728038002,0.03288284768092028,1.477018972790438,0.004532040362277401,0.55,9637,1404
