source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Allantoic endothelial progenitor,Allantoic endothelial progenitor,8.000000000000007,4.144832625267251e-15,4.14431730022e-05,5.153891247443943e-29,1.0,110,110
Allantoic endothelial progenitor,Allantois,6.19535744707679,1.1763357320278873,16.61042716214437,0.01826966214505176,0.0,110,849
Allantoic endothelial progenitor,Amniotic ectoderm,5.0751362784605,0.6642502160747359,4.458506572268777,0.18817104198437068,0.08,110,101
Allantoic endothelial progenitor,Anterior mesoderm,4.942063118670247,-0.1906223054278874,-2.450866004456065,0.011419342313370646,0.09,110,1060
Allantoic endothelial progenitor,Axial progenitor,4.934240897471862,-0.32076217715993965,-5.149372385887021,0.04959303749378688,0.05,110,982
Allantoic endothelial progenitor,Cranial neural crest,4.945029895667259,-0.20540346284082123,-2.878859645580586,,0.0,52,147
Allantoic endothelial progenitor,Endothelial progenitor,4.979775877555281,-0.11493599551442468,-0.8932908674858703,0.048622855960430034,0.04,110,416
Allantoic endothelial progenitor,Extraembryonic mesoderm,5.446086322590379,0.30633800437286585,4.962619593707139,0.007596413891912514,0.01,110,713
Allantoic endothelial progenitor,First heart field,4.822031583666705,0.07070190727248615,0.581641348480632,0.0388837855981113,0.25,110,429
Allantoic endothelial progenitor,Forebrain,5.004730725885266,-0.3054981442751137,-4.992490339436083,0.014146638196239505,0.01,110,1586
Allantoic endothelial progenitor,Gut,4.653263782118953,-0.2923834392523128,-3.570086221338062,0.03384546302283825,0.03,110,610
Allantoic endothelial progenitor,Hindbrain,4.947746234793549,-0.335917338678087,-4.917082311311202,0.017481586230455096,0.0,110,985
Allantoic endothelial progenitor,Intermediate mesoderm,5.01322159241712,-0.16736744452279448,-2.08466366783084,0.0308302226349019,0.39,110,709
Allantoic endothelial progenitor,Juxtacardiac field,4.78650916430497,0.15230078544930237,0.9062727617418238,0.008998415633957485,0.61,110,126
Allantoic endothelial progenitor,Lateral plate mesoderm,5.075034734191961,-0.13814644192298461,-2.2813302786913625,0.027420146700343533,0.71,110,1118
Allantoic endothelial progenitor,Midbrain,4.852223025949565,-0.36992808458817716,-5.726205582000993,0.001654554481477094,0.0,74,1053
Allantoic endothelial progenitor,Nascent somite,4.96809467117606,-0.24025575229473764,-3.3228014289714314,0.011888769735282035,0.02,110,1211
Allantoic endothelial progenitor,Notochord,4.40441980127427,-0.2875755400128946,-2.158051788385286,0.05043323181468669,0.3,110,117
Allantoic endothelial progenitor,Prechordal plate,3.800295986673289,-0.5066817372346653,-2.813648958615559,0.007708915104904058,0.03,110,42
Allantoic endothelial progenitor,Presomitic mesoderm,4.931597089623719,-0.32427633481889756,-5.13241585535019,0.023736039668729544,0.0,110,955
Allantoic endothelial progenitor,Primitive streak,4.938416858480491,-0.13857536900428702,-1.23338627747071,0.023701929903029138,0.96,110,426
Allantoic endothelial progenitor,Second heart field (anterior),4.766755539172837,-0.20421049406287187,-1.5987126720833087,0.07303922047090178,0.93,110,400
Allantoic endothelial progenitor,Second heart field (posterior),4.795688258324145,-0.0751019920979692,-0.883103448392788,0.017316353744749043,0.68,110,281
Allantoic endothelial progenitor,Spinal cord,4.942928343745742,-0.4261398362805921,-7.649173203486111,0.014226869133705822,0.0,110,2012
Allantoic endothelial progenitor,Surface ectoderm (anterior),5.130140708023753,0.02601265236142621,0.34842125479976116,0.006176246335882626,0.7,110,793
Allantoic endothelial progenitor,Surface ectoderm (posterior),5.1223264299202524,0.024834068693188865,0.28685062741807205,0.0004914898215956839,0.98,110,406
Allantois,Allantois,8.000000000000002,1.1842378929335002e-15,1.1841958218465536e-05,4.20725816117873e-30,1.0,849,849
Allantois,Amniotic ectoderm,5.606991216341123,0.7144200540632998,9.977366779548381,0.03707087609394381,0.0,849,101
Allantois,Anterior mesoderm,5.464465705336171,-0.16104020957641563,-5.3221706567170175,0.017682472599470853,0.42,849,1060
Allantois,Axial progenitor,5.4699430222944985,-0.2753008849479812,-8.388834711814395,0.013602277280269004,0.0,849,982
Allantois,Cranial neural crest,5.262977082079649,-0.12076525056387943,-2.6703653793249797,,0.0,302,147
Allantois,Endothelial progenitor,5.506025821990375,-0.07900213094258213,-2.000051703274367,0.01399604718612427,0.16,849,416
Allantois,Extraembryonic mesoderm,6.150791670337959,0.5283504061429559,15.430413435071145,0.003047224037627483,0.0,849,713
Allantois,First heart field,5.2127390500181505,-0.027961097423185127,-0.8017643120168025,0.03353472339055024,0.56,849,429
Allantois,Forebrain,5.556661902974983,-0.24128176010174732,-9.367685352942319,0.005852764449763294,0.0,849,1586
Allantois,Gut,5.141395238958169,-0.2934969055267273,-7.611346990225685,0.02013634004046099,0.0,849,610
Allantois,Hindbrain,5.5079614844933635,-0.25964429698692015,-8.90559975475997,0.0028201237998692792,0.0,849,985
Allantois,Intermediate mesoderm,5.5466139943471156,-0.12443183520757876,-3.745189867970511,0.011093026909955618,0.94,849,709
Allantois,Juxtacardiac field,4.960085921062741,-0.1287372285084043,-0.5948945741415117,0.059328381803014404,0.52,849,126
Allantois,Lateral plate mesoderm,5.833034631066826,0.12858048821829668,5.045103304804395,0.02580146097038192,0.35,849,1118
