cell_subtype,cell_type,cluster,lineage,germ_layer,type_color,id,subtype_id,subtype_color
Olfactory placode,Olfactory placode,Surface ectoderm,Surface ectoderm,Ectoderm,#0aa6d8,42,42,#0aa6d8
Olfactory sensory neuron,Olfactory sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,#772600,43,43,#772600
Otic placode,Otic placode,Surface ectoderm,Surface ectoderm,Ectoderm,#788d66,44,44,#788d66
Otic sensory neuron,Otic sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,#3b9700,45,45,#3b9700
Pre-placodal ectoderm,Pre-placodal ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,#bec459,46,46,#bec459
Apical ectodermal ridge,Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,#372101,47,47a,#372101
Surface ectoderm (anterior),Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,#372101,47,47b,#31a354
Surface ectoderm (posterior),Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,#372101,47,47c,#756bb1
Trigeminal placode,Trigeminal placode,Surface ectoderm,Surface ectoderm,Ectoderm,#7b4f4b,48,48,#7b4f4b
Trigeminal sensory neuron,Trigeminal sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,#b77b68,49,49,#b77b68
Definitive endoderm,Definitive endoderm,Early,Endoderm,Endoderm,#922329,50,50,#922329
Gut,Gut,Early,Endoderm,Endoderm,#6b002c,51,51,#6b002c
Prechordal plate,Prechordal plate,Endoderm and notochord,Mesoderm (other),Mesoderm,#5b4534,52,52,#5b4534
Foregut,Foregut,Endoderm and notochord,Endoderm,Endoderm,#0cbd66,53,53a,#0cbd66
Pancreatic-biliary progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,#0cbd66,53,53b,#9467bd
Respiratory progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,#0cbd66,53,53c,#8c564b
Thyroid progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,#0cbd66,53,53d,#e377c2
Hepatoblast,Hepatoblast,Endoderm and notochord,Endoderm,Endoderm,#938a81,54,54,#938a81
Hindgut,Hindgut,Endoderm and notochord,Endoderm,Endoderm,#00489c,55,55,#00489c
Midgut,Midgut,Endoderm and notochord,Endoderm,Endoderm,#456d75,56,56,#456d75
Parietal endoderm,Parietal endoderm,Endoderm and notochord,Endoderm,Endoderm,#fde8dc,57,57,#fde8dc
Pharyngeal endoderm,Pharyngeal endoderm,Endoderm and notochord,Endoderm,Endoderm,#a1c299,58,58,#a1c299
Visceral endoderm,Visceral endoderm,Extraembryonic and PGC,Extraembryonic endoderm,Endoderm,#7900d7,59,59,#7900d7
Epiblast,Epiblast,Early,Epiblast,Epiblast,#549e79,60,60,#549e79
Primitive streak,Primitive streak,Early,Epiblast,Epiblast,#99adc0,61,61,#99adc0
Axial progenitor,Axial progenitor,Posterior neural ectoderm,Epiblast,Epiblast,#c2ffed,62,62,#c2ffed
Macrophage,Macrophage,Blood and endothelial,Blood,Mesoderm,#575329,63,63,#575329
Megakaryocyte,Megakaryocyte,Blood and endothelial,Blood,Mesoderm,#d790ff,64,64,#d790ff
Primitive erythrocyte,Primitive erythrocyte,Blood and endothelial,Blood,Mesoderm,#0000a6,65,65,#0000a6
Allantoic endothelial progenitor,Allantoic endothelial progenitor,Blood and endothelial,Extraembryonic mesoderm,Mesoderm,#fad09f,66,66,#fad09f
Endothelial cell,Endothelial cell,Blood and endothelial,Mesoderm (other),Mesoderm,#ba0900,67,67a,#ba0900
Yolk sac endothelial cell,Endothelial cell,Blood and endothelial,Extraembryonic mesoderm,Mesoderm,#ba0900,67,67b,#17a398
Allantois,Allantois,Extraembryonic and PGC,Extraembryonic mesoderm,Mesoderm,#d16100,68,68,#d16100
Extraembryonic mesoderm,Extraembryonic mesoderm,Extraembryonic and PGC,Extraembryonic mesoderm,Mesoderm,#ffaa92,69,69,#ffaa92
Intermediate mesoderm,Intermediate mesoderm,Intermediate and somatic mesoderm,Intermediate mesoderm,Mesoderm,#61615a,70,70a,#61615a
Intermediate mesoderm (posterior),Intermediate mesoderm,Intermediate and somatic mesoderm,Intermediate mesoderm,Mesoderm,#61615a,70,70b,#6baed6
Intermediate mesoderm (nephrogenic),Intermediate mesoderm,Intermediate and somatic mesoderm,Intermediate mesoderm,Mesoderm,#61615a,70,70c,#fd8d3c
Lateral plate mesoderm,Lateral plate mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#a77500,71,71,#a77500
Epicardium,Epicardium,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#00fecf,72,72,#00fecf
First heart field,First heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#7a87a1,73,73a,#7a87a1
Left ventricle,First heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#7a87a1,73,73b,#028A7C
Atrioventricular canal,First heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#7a87a1,73,73c,#D95300
Second heart field (anterior),Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#6b7900,75,75a,#a1d99b
Outflow tract,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#6b7900,75,75b,#9ecae1
Right ventricle,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#6b7900,75,75c,#fdd0a2
Second heart field (posterior),Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#6b7900,75,75d,#8E22D1
Atria,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#6b7900,75,75e,#6b7900
Inflow tract,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#6b7900,75,75f,#0086ed
Juxtacardiac field,Juxtacardiac field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#0086ed,74,74,#9C1C1C
Forelimb field,Forelimb field,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,#8fb0ff,76,76,#8fb0ff
Hindlimb field,Hindlimb field,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,#000035,77,77,#000035
Somatic mesoderm,Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,#1ce6ff,78,78a,#1ce6ff
Somatic mesoderm (anterior),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,#1ce6ff,78,78b,#7b4173
Somatic mesoderm (tailbud),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,#1ce6ff,78,78c,#3182bd
Somatic mesoderm (posterior),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,#1ce6ff,78,78d,#e6550d
Mesothelium,Mesothelium,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#72418f,79,79,#72418f
Splanchnic mesoderm,Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#ffdbe5,80,80a,#ffdbe5
Splanchnic mesoderm (cardiopulmonary),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#ffdbe5,80,80b,#f45b69
Splanchnic mesoderm (gastric),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#ffdbe5,80,80c,#4ecdc4
Splanchnic mesoderm (intestinal),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#ffdbe5,80,80d,#556270
Splanchnic mesoderm (septum transversum),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,#ffdbe5,80,80e,#c44d58
Anterior mesoderm,Anterior mesoderm,Early,Mesoderm (other),Mesoderm,#8cd0ff,81,81,#8cd0ff
Nascent mesoderm,Nascent mesoderm,Early,Mesoderm (other),Mesoderm,#9b9700,82,82,#9b9700
Arterial endothelial cell,Arterial endothelial cell,Blood and endothelial,Mesoderm (other),Mesoderm,#b05b6f,83,83,#b05b6f
Endocardial cell,Endocardial cell,Blood and endothelial,Lateral plate mesoderm,Mesoderm,#34362d,84,84,#34362d
Endothelial progenitor,Endothelial progenitor,Blood and endothelial,Mesoderm (other),Mesoderm,#eec3ff,85,85,#eec3ff
Hematoendothelial progenitor,Hematoendothelial progenitor,Blood and endothelial,Mesoderm (other),Mesoderm,#3a2465,86,86,#3a2465
Notochord,Notochord,Endoderm and notochord,Mesoderm (other),Mesoderm,#b4a8bd,87,87,#b4a8bd
Pharyngeal mesoderm,Pharyngeal mesoderm,Splanchnic mesoderm,Paraxial mesoderm,Mesoderm,#b903aa,88,88,#b903aa
Dermomyotome,Dermomyotome,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#ff4a46,89,89,#ff4a46
Head paraxial mesoderm,Head paraxial mesoderm,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#006fa6,90,90,#006fa6
Hypaxial myogenic progenitor,Hypaxial myogenic progenitor,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#c2ff99,91,91,#c2ff99
Myotome,Myotome,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#d157a0,92,92,#d157a0
Nascent somite,Nascent somite,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#ddefff,93,93,#ddefff
Periocular mesoderm,Periocular mesoderm,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#886f4c,94,94,#886f4c
Presomitic mesoderm,Presomitic mesoderm,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#4fc601,95,95,#4fc601
Sclerotome,Sclerotome,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,#ffff00,96,96,#ffff00
Primordial germ cell,Primordial germ cell,Extraembryonic and PGC,Primordial germ cell,Primordial germ cell,#201625,97,97,#201625
Hemogenic endothelium,Hemogenic endothelium,Blood and endothelial,Mesoderm (other),Mesoderm,#aa00ff,98,98,#aa00ff
Hematopoietic progenitor,Hematopoietic progenitor,Blood and endothelial,Blood,Mesoderm,#a05d78,99,99,#a05d78
