,embryo,stage,fate,lineage,mean_time,mean_size,n_progenitors
54,E9.5-R1,E9.5,Periocular mesoderm,Paraxial mesoderm,8.338141752859702,6.450980392156863,102
55,E9.5-R1,E9.5,Pharyngeal arch mesenchyme,Neural crest,8.392878824836798,10.48932384341637,1124
56,E9.5-R1,E9.5,Pharyngeal endoderm,Endoderm,8.10310100193322,8.5,174
57,E9.5-R1,E9.5,Pharyngeal mesoderm,Paraxial mesoderm,8.381244478453825,5.170212765957447,376
58,E9.5-R1,E9.5,Presomitic mesoderm,Paraxial mesoderm,8.728686994344484,3.9508196721311477,549
59,E9.5-R1,E9.5,Primordial germ cell,Primordial germ cell,7.894426390919038,3.5,2
60,E9.5-R1,E9.5,Roof plate,Neural ectoderm,8.681130921294644,3.0176470588235293,510
61,E9.5-R1,E9.5,Sacral neural crest,Neural crest,8.878007442379577,2.838926174496644,149
62,E9.5-R1,E9.5,Sclerotome,Paraxial mesoderm,8.546395781230114,5.953905249679898,3124
63,E9.5-R1,E9.5,Second heart field,Lateral plate mesoderm,8.297131089962305,3.779746835443038,395
64,E9.5-R1,E9.5,Somatic mesoderm,Lateral plate mesoderm,8.620792151469965,5.776691729323308,2660
65,E9.5-R1,E9.5,Somatic motor neuron,Neural ectoderm,8.775446304283268,2.425974025974026,385
66,E9.5-R1,E9.5,Spinal cord (cervical),Neural ectoderm,8.683130692261019,4.868102288021534,2229
67,E9.5-R1,E9.5,Spinal cord (lumbar),Neural ectoderm,8.780521637768711,4.199516324062878,827
68,E9.5-R1,E9.5,Spinal cord (sacral),Neural ectoderm,8.823385068332138,3.2755102040816326,392
69,E9.5-R1,E9.5,Spinal cord (thoracic),Neural ectoderm,8.728197012318832,5.237853107344633,1770
70,E9.5-R1,E9.5,Spinal cord interneuron,Neural ectoderm,8.800594116802213,2.255813953488372,516
71,E9.5-R1,E9.5,Splanchnic mesoderm,Lateral plate mesoderm,8.572982192385709,3.59396299902629,1027
72,E9.5-R1,E9.5,Surface ectoderm,Surface ectoderm,8.57455569423824,4.19,100
73,E9.5-R1,E9.5,Telencephalon,Neural ectoderm,8.53731805573363,8.946570972886763,1254
74,E9.5-R1,E9.5,Trigeminal ganglion neuron,Neural crest,8.621393810141152,2.946564885496183,131
75,E9.5-R1,E9.5,Trigeminal placode,Surface ectoderm,8.468825684173247,4.941451990632318,427
76,E9.5-R1,E9.5,Trigeminal sensory neuron,Surface ectoderm,8.697016118130668,4.182291666666667,192
77,E9.5-R1,E9.5,Trunk neural crest,Neural crest,8.722903583332037,3.654589371980676,414
78,E9.5-R1,E9.5,Vagal neural crest,Neural crest,8.6547269601556,3.007380073800738,271
79,E9.5-R2,E9.5,Amniotic ectoderm,Extraembryonic ectoderm,8.122035508812491,6.404255319148936,141
80,E9.5-R2,E9.5,Arterial endothelial cell,Mesoderm,7.958151100882199,2.5238095238095237,21
81,E9.5-R2,E9.5,Autonomic neuron,Neural crest,8.615340324770674,2.2222222222222223,9
82,E9.5-R2,E9.5,Autonomic progenitor,Neural crest,8.415883406486444,3.804979253112033,241
83,E9.5-R2,E9.5,Axial progenitor,Epiblast,8.808704799720127,2.889400921658986,217
84,E9.5-R2,E9.5,Cranial motor neuron,Neural ectoderm,8.603050636538978,2.489082969432314,229
85,E9.5-R2,E9.5,Cranial neural crest,Neural crest,8.527359534598894,3.8700475435816166,631
86,E9.5-R2,E9.5,Dermomyotome,Paraxial mesoderm,8.623665407690092,3.9471830985915495,3124
87,E9.5-R2,E9.5,Diencephalon,Neural ectoderm,8.505922716493533,4.335628227194492,581
88,E9.5-R2,E9.5,Dorsal root ganglion neuron,Neural crest,8.669586790801047,2.6936936936936937,111
89,E9.5-R2,E9.5,Dorsal root ganglion progenitor,Neural crest,8.757599844691816,2.3384615384615386,65
90,E9.5-R2,E9.5,Endocardial cell,Lateral plate mesoderm,8.103722578816537,3.6885245901639343,122
91,E9.5-R2,E9.5,Endothelial cell,Mesoderm,8.223311043178239,3.1266968325791855,884
92,E9.5-R2,E9.5,Endothelial progenitor,Mesoderm,8.736536183029283,2.130434782608696,69
93,E9.5-R2,E9.5,Epibranchial placode,Surface ectoderm,8.475839070212817,5.052631578947368,228
